arrest_key,arrest_date,pd_cd,pd_desc,ky_cd,ofns_desc,law_code,law_cat_cd,arrest_boro,arrest_precinct,jurisdiction_code,age_group,perp_sex,perp_race,x_coord_cd,y_coord_cd,latitude,longitude,lon_lat
190049060,2018-11-15T00:00:00.000Z,157.0,RAPE 1,104.0,RAPE,PL 1303501,F,K,77,0.0,25-44,M,BLACK,1003606.0,185050.0,40.67458330800008,-73.93022154099998,POINT (-73.93022154099998 40.67458330800008)
189182271,2018-10-24T00:00:00.000Z,153.0,RAPE 3,104.0,RAPE,PL 1302503,F,M,5,0.0,45-64,M,WHITE HISPANIC,984946.0,200203.0,40.716195914000025,-73.99749074599998,POINT (-73.99749074599998 40.716195914000025)
189129210,2018-10-23T00:00:00.000Z,101.0,ASSAULT 3,344.0,ASSAULT 3 & RELATED OFFENSES,PL 1200000,M,M,18,0.0,25-44,M,WHITE HISPANIC,987501.0,217778.0,40.76443435900006,-73.988265529,POINT (-73.988265529 40.76443435900006)
189827117,2018-11-10T00:00:00.000Z,175.0,"SEXUAL ABUSE 3,2",233.0,SEX CRIMES,PL 13052A1,M,M,1,0.0,25-44,M,WHITE HISPANIC,982285.0,201682.0,40.72025522300004,-74.00709027999993,POINT (-74.00709027999993 40.72025522300004)
189176315,2018-10-24T00:00:00.000Z,475.0,"","","",PL 1651601,M,M,28,1.0,25-44,M,BLACK,999346.0,233573.0,40.80777512600008,-73.94547028299998,POINT (-73.94547028299998 40.80777512600008)
189228258,2018-10-26T00:00:00.000Z,563.0,PROSTITUTION,356.0,PROSTITUTION & RELATED OFFENSES,PL 2300000,M,Q,103,0.0,18-24,F,WHITE,1041717.0,197008.0,40.707239816000026,-73.79272672599996,POINT (-73.79272672599996 40.707239816000026)
189863002,2018-11-11T00:00:00.000Z,179.0,SEXUAL ABUSE 1,116.0,SEX CRIMES,PL 1306502,F,K,63,0.0,<18,M,BLACK,1000448.0,168068.0,40.627977755000074,-73.94164715699996,POINT (-73.94164715699996 40.62797775500008)
189476017,2018-11-01T00:00:00.000Z,793.0,WEAPONS POSSESSION 3,118.0,DANGEROUS WEAPONS,PL 2650201,F,K,68,0.0,25-44,M,WHITE,975830.0,164418.0,40.61797007100006,-74.03033045599993,POINT (-74.03033045599993 40.617970071000066)
189259155,2018-10-26T00:00:00.000Z,175.0,"SEXUAL ABUSE 3,2",233.0,SEX CRIMES,PL 13052A1,M,K,67,0.0,<18,M,BLACK,998032.0,175598.0,40.648650085000035,-73.95033556299995,POINT (-73.95033556299995 40.648650085000035)
189974181,2018-11-14T00:00:00.000Z,475.0,"","","",PL 1651601,M,M,14,1.0,65+,M,WHITE,986061.0,213320.0,40.75219869800003,-73.99346504499994,POINT (-73.99346504499994 40.75219869800003)
189907410,2018-11-12T00:00:00.000Z,568.0,"MARIJUANA, POSSESSION 1, 2 & 3",117.0,DANGEROUS DRUGS,PL 2213000,F,Q,108,4.0,25-44,M,WHITE,996644.0,209958.0,40.74296235400004,-73.95527424799997,POINT (-73.95527424799997 40.74296235400004)
189442667,2018-11-01T00:00:00.000Z,707.0,"IMPERSONATION 2, PUBLIC SERVANT",340.0,FRAUDS,PL 1902300,M,K,60,0.0,25-44,M,BLACK,990824.0,149705.0,40.57758741600002,-73.97633607099993,POINT (-73.97633607099993 40.57758741600002)
190140531,2018-11-18T00:00:00.000Z,153.0,RAPE 3,104.0,RAPE,PL 1302501,F,B,44,0.0,18-24,M,WHITE HISPANIC,1006434.0,244344.0,40.83732351100008,-73.91983075699994,POINT (-73.91983075699994 40.83732351100008)
188086111,2018-09-27T00:00:00.000Z,"","","","","","",B,50,0.0,25-44,M,WHITE HISPANIC,1012688.0,270928.0,40.91027045300007,-73.89711662799994,POINT (-73.89711662799994 40.91027045300007)
189457670,2018-11-01T00:00:00.000Z,569.0,"MARIJUANA, SALE 4 & 5",235.0,DANGEROUS DRUGS,PL 2214000,M,S,121,0.0,25-44,M,BLACK,939646.0,171536.0,40.63739917600003,-74.16071284299994,POINT (-74.16071284299994 40.63739917600003)
186712976,2018-08-22T00:00:00.000Z,475.0,"","","",PL 1651601,M,Q,103,1.0,25-44,M,BLACK,1037559.0,194576.0,40.70059059000005,-73.80774319999993,POINT (-73.80774319999995 40.70059059000005)
190042379,2018-11-15T00:00:00.000Z,729.0,"FORGERY,ETC.,UNCLASSIFIED-FELONY",113.0,FORGERY,PL 1701004,F,K,75,1.0,25-44,M,BLACK,1016653.0,182077.0,40.66638495300003,-73.88320041399999,POINT (-73.88320041399999 40.66638495300003)
189328476,2018-10-29T00:00:00.000Z,223.0,"BURGLARY,RESIDENCE,NIGHT",107.0,BURGLARY,PL 1403002,F,M,5,73.0,45-64,M,BLACK,983903.0,200257.0,40.71634415200003,-74.00125319299997,POINT (-74.00125319299997 40.71634415200003)
189217178,2018-10-25T00:00:00.000Z,175.0,"SEXUAL ABUSE 3,2",233.0,SEX CRIMES,PL 13052A1,M,Q,101,0.0,18-24,M,BLACK,1053678.0,159044.0,40.60295159100008,-73.74997626099997,POINT (-73.74997626099997 40.60295159100008)
